Domaine,Zone,Élément,Produit,Année,Valeur
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2010","1"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2011","2"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2012","2"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2013","2"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2014","3"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2015","2"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2016","3"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2017","4"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2018","4"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2019","7"
"Bilans Alimentaires (2010-)","Algérie","Aliments pour animaux","Céréales, Autres","2020","8"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2012","1"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2013","1"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2014","1"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2015","1"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2016","2"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2017","2"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2018","1"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Algérie","Nourriture","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2010","1889"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2011","1653"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2012","2129"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2013","2373"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2014","2588"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2015","2552"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2016","2390"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2017","2304"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2018","1672"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2019","1998"
"Bilans Alimentaires (2010-)","Allemagne","Aliments pour animaux","Céréales, Autres","2020","2020"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2010","38"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2011","40"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2012","35"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2013","42"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2014","10"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2015","9"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2016","10"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2017","10"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2018","23"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2019","52"
"Bilans Alimentaires (2010-)","Allemagne","Nourriture","Céréales, Autres","2020","73"
"Bilans Alimentaires (2010-)","Angola","Aliments pour animaux","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Angola","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Angola","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Angola","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Angola","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Angola","Aliments pour animaux","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Angola","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Angola","Nourriture","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Nourriture","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2010","1"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2011","1"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2012","1"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2013","2"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2014","2"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2015","2"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2016","2"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2017","3"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2018","3"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2019","4"
"Bilans Alimentaires (2010-)","Arabie saoudite","Aliments pour animaux","Céréales, Autres","2020","4"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2010","46"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2011","50"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2012","55"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2013","52"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2014","54"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2015","52"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2016","49"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2017","51"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2018","53"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2019","46"
"Bilans Alimentaires (2010-)","Arabie saoudite","Nourriture","Céréales, Autres","2020","49"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2010","1"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2011","4"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2012","1"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2013","1"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2014","22"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2015","12"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2016","6"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2017","12"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2018","5"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2019","14"
"Bilans Alimentaires (2010-)","Argentine","Aliments pour animaux","Céréales, Autres","2020","4"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2010","25"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2011","38"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2012","32"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2013","53"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2014","33"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2015","30"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2016","31"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2017","32"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2018","63"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2019","55"
"Bilans Alimentaires (2010-)","Argentine","Nourriture","Céréales, Autres","2020","33"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2011","1"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2012","1"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2013","1"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2014","1"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2015","1"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2016","1"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2017","1"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2019","2"
"Bilans Alimentaires (2010-)","Arménie","Aliments pour animaux","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2010","7"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2011","9"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2012","11"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2013","8"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2014","8"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2015","7"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2016","8"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2017","8"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2018","7"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2019","8"
"Bilans Alimentaires (2010-)","Arménie","Nourriture","Céréales, Autres","2020","7"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2010","464"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2011","330"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2012","266"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2013","162"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2014","119"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2015","135"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2016","121"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2017","140"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2018","84"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2019","78"
"Bilans Alimentaires (2010-)","Australie","Aliments pour animaux","Céréales, Autres","2020","74"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2010","15"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2011","16"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2012","19"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2013","19"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2014","25"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2015","28"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2016","28"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2017","27"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2018","32"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2019","36"
"Bilans Alimentaires (2010-)","Australie","Nourriture","Céréales, Autres","2020","43"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2010","326"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2011","272"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2012","265"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2013","280"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2014","346"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2015","336"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2016","351"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2017","308"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2018","277"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2019","287"
"Bilans Alimentaires (2010-)","Autriche","Aliments pour animaux","Céréales, Autres","2020","302"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2010","12"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2011","19"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2012","23"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2013","16"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2014","16"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2015","10"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2016","14"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2017","17"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2018","9"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2019","16"
"Bilans Alimentaires (2010-)","Autriche","Nourriture","Céréales, Autres","2020","14"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2010","1"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2011","6"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2012","4"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2013","3"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2014","3"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2015","3"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2018","1"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2010","8"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2011","14"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2012","4"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2013","8"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2014","8"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2015","6"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2016","6"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2017","8"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2018","6"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2019","8"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Nourriture","Céréales, Autres","2020","10"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2011","1"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Bahamas","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2016","1"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2017","1"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2018","1"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Bahamas","Nourriture","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Bahreïn","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Bahreïn","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Bahreïn","Nourriture","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Bahreïn","Nourriture","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Bangladesh","Aliments pour animaux","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Bangladesh","Aliments pour animaux","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Bangladesh","Aliments pour animaux","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Bangladesh","Aliments pour animaux","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Bangladesh","Aliments pour animaux","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Bangladesh","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Bangladesh","Aliments pour animaux","Céréales, Autres","2016","0"
